date;beds;units;persons;personsN;presonsR;beds0;units0
2020-12-30;17228;1580;159002;6957;1025889;35145;3066
2020-12-31;16970;1607;164847;6991;1036138;35145;3078
2021-01-01;16757;1598;164643;6183;1046281;34741;3036
2021-01-02;16601;1588;149396;6740;1055436;33909;3002
2021-01-03;16786;1602;139967;6555;1063093;33854;2976
2021-01-04;17130;1642;132060;6465;1069554;33897;2970
2021-01-05;17191;1629;155608;5984;1078892;33354;2957
2021-01-06;17057;1606;162514;5971;1087744;33194;2967
2021-01-07;16727;1590;150303;5705;1095616;33114;2980
2021-01-08;16774;1616;164030;6055;1104599;33076;2984
2021-01-09;16543;1596;162523;6239;1113738;32655;2967
2021-01-11;16681;1605;146685;5928;1130460;32352;2943
2021-01-12;16859;1637;169588;5645;1138126;32078;2948
2021-01-14;16250;1630;184369;5922;1155823;31690;2946
2021-01-15;16083;1628;182899;5917;1164650;31521;2949
2021-01-16;NA;NA;NA;NA;NA;NA;NA
2021-01-17;15588;1651;172702;6096;1181326;30994;2894
2021-01-18;15716;1616;170044;5930;1187719;30999;2904
2021-01-19;15667;1582;182631;5933;1197034;30694;2887
2021-01-20;15324;1569;184982;5680;1207359;30737;2889
2021-01-21;14928;1597;185529;5729;1215732;30503;2884
2021-01-22;14614;1489;181698;5837;1213012;30252;2854
2021-01-23;14528;1477;184639;5660;1222782;30151;2860
2021-01-24;14377;1482;176192;5992;1230446;29893;2860
2021-01-25;14544;1467;170854;5937;1237736;29913;2854
2021-01-26;14596;1449;177875;1243575;;29654;2839
2021-01-27;14120;1414;176833;1246267;;29558;2847
2021-01-28;13879;1406;178510;1250892;;29502;2843
2021-01-29;13726;1400;177684;1257352;;29368;2838
2021-01-30;13654;1409;174906;1264574;;29229;2826
2021-01-31;13339;1388;162805;1270467;;29303;2841
2021-02-01;13507;1385;150420;1276636;;29155;2827
2021-02-02;13512;1353;152614;1281396;;28302;2745
2021-02-05;12837;1338;152292;1294687;;28027;2720
2021-02-06;12743;1293;149585;1301571;;27870;2695
2021-02-07;12528;1336;138266;1307161;;27687;2698
2021-02-08;12559;1326;129751;1312856;;27690;2687
2021-02-09;12677;1323;137467;1317474;;27584;2678
2021-02-10;12472;1314;135235;1319635;;27232;2656
