date;time;woj;newc;newd;totalc;totald
2020-04-14;18:00;łódzkie;16;1;567;8
2020-04-14;18:00;śląskie;64;5;943;52
2020-04-14;18:00;świętokrzyskie;13;0;154;2
2020-04-15;17:30;Polska;380;23;7582;286
2020-04-15;17:30;dolnośląskie;41;0;764;25
2020-04-15;17:30;kujawsko-pomorskie;7;3;359;12
2020-04-15;17:30;lubelskie;25;0;270;10
2020-04-15;17:30;lubuskie;0;0;79;
2020-04-15;17:30;mazowieckie;77;8;1792;83
2020-04-15;17:30;małopolskie;24;2;561;15
2020-04-15;17:30;opolskie;13;2;219;9
2020-04-15;17:30;podkarpackie;9;1;243;14
2020-04-15;17:30;podlaskie;3;0;259;2
2020-04-15;17:30;pomorskie;4;0;179;1
2020-04-15;17:30;warmińsko-mazurskie;3;0;125;1
2020-04-15;17:30;wielkopolskie;102;0;785;43
2020-04-15;17:30;zachodniopomorskie;6;0;217;2
2020-04-15;17:30;łódzkie;5;1;572;9
2020-04-15;17:30;śląskie;45;6;988;58
2020-04-15;17:30;świętokrzyskie;16;0;170;2
2020-04-16;17:30;Polska;336;28;7918;314
2020-04-16;17:30;dolnośląskie;55;3;819;28
2020-04-16;17:30;kujawsko-pomorskie;8;1;367;13
2020-04-16;17:30;lubelskie;9;0;279;10
2020-04-16;17:30;lubuskie;2;0;81;
2020-04-16;17:30;mazowieckie;54;12;1846;95
2020-04-16;17:30;małopolskie;14;0;575;15
2020-04-16;17:30;opolskie;11;1;230;10
2020-04-16;17:30;podkarpackie;3;1;246;15
2020-04-16;17:30;podlaskie;19;1;278;3
2020-04-16;17:30;pomorskie;2;1;181;2
2020-04-16;17:30;warmińsko-mazurskie;4;0;129;1
2020-04-16;17:30;wielkopolskie;44;2;829;45
2020-04-16;17:30;zachodniopomorskie;6;0;223;2
2020-04-16;17:30;łódzkie;18;0;590;9
2020-04-16;17:30;śląskie;82;5;1070;63
2020-04-16;17:30;świętokrzyskie;5;1;175;3
2020-04-17;17:30;Polska;461;18;8379;332
2020-04-17;17:30;dolnośląskie;74;2;893;30
2020-04-17;17:30;kujawsko-pomorskie;20;0;387;13
2020-04-17;17:30;lubelskie;11;0;290;10
2020-04-17;17:30;lubuskie;0;0;81;
2020-04-17;17:30;mazowieckie;37;5;1883;100
2020-04-17;17:30;małopolskie;21;1;596;16
2020-04-17;17:30;opolskie;24;3;254;13
2020-04-17;17:30;podkarpackie;5;0;251;15
2020-04-17;17:30;podlaskie;13;0;291;3
2020-04-17;17:30;pomorskie;4;0;185;2
2020-04-17;17:30;warmińsko-mazurskie;10;0;139;1
2020-04-17;17:30;wielkopolskie;51;3;880;48
2020-04-17;17:30;zachodniopomorskie;7;0;230;2
2020-04-17;17:30;łódzkie;17;-1;607;8
2020-04-17;17:30;śląskie;149;4;1219;67
2020-04-17;17:30;świętokrzyskie;18;1;193;4
2020-04-18;17:30;Polska;363;15;8742;347
2020-04-18;17:30;dolnośląskie;56;0;949;30
2020-04-18;17:30;kujawsko-pomorskie;11;3;398;16
2020-04-18;17:30;lubelskie;3;0;293;10
2020-04-18;17:30;lubuskie;0;0;81;
2020-04-18;17:30;mazowieckie;53;7;1936;107
2020-04-18;17:30;małopolskie;34;0;630;16
2020-04-18;17:30;opolskie;17;0;271;13
2020-04-18;17:30;podkarpackie;8;0;259;15
2020-04-18;17:30;podlaskie;25;0;316;3
2020-04-18;17:30;pomorskie;22;0;207;2
2020-04-18;17:30;warmińsko-mazurskie;0;0;139;1
2020-04-18;17:30;wielkopolskie;18;1;898;49
2020-04-18;17:30;zachodniopomorskie;19;0;249;2
2020-04-18;17:30;łódzkie;33;2;640;10
2020-04-18;17:30;śląskie;54;2;1273;69
2020-04-18;17:30;świętokrzyskie;10;0;203;4
2020-04-19;17:30;Polska;545;13;9287;360
2020-04-19;17:30;dolnośląskie;95;0;1044;30
2020-04-19;17:30;kujawsko-pomorskie;8;0;406;16
2020-04-19;17:30;lubelskie;15;0;308;10
2020-04-19;17:30;lubuskie;0;0;81;
2020-04-19;17:30;mazowieckie;56;1;1992;108
2020-04-19;17:30;małopolskie;16;1;646;17
2020-04-19;17:30;opolskie;5;1;276;14
2020-04-19;17:30;podkarpackie;4;1;263;16
2020-04-19;17:30;podlaskie;5;0;321;3
2020-04-19;17:30;pomorskie;2;0;209;2
2020-04-19;17:30;warmińsko-mazurskie;3;0;142;1
2020-04-19;17:30;wielkopolskie;122;2;1020;51
2020-04-19;17:30;zachodniopomorskie;17;2;266;4
2020-04-19;17:30;łódzkie;20;0;660;10
2020-04-19;17:30;śląskie;170;5;1443;74
2020-04-19;17:30;świętokrzyskie;7;0;210;4
2020-04-20;17:44;Polska;306;20;9593;380
2020-04-20;17:44;dolnośląskie;33;3;1077;33
2020-04-20;17:44;kujawsko-pomorskie;15;1;421;17
2020-04-20;17:44;lubelskie;3;0;311;10
2020-04-20;17:44;lubuskie;1;0;82;
2020-04-20;17:44;mazowieckie;38;8;2030;116
2020-04-20;17:44;małopolskie;33;2;679;19
2020-04-20;17:44;opolskie;16;0;292;14
2020-04-20;17:44;podkarpackie;3;0;266;16
2020-04-20;17:44;podlaskie;6;0;327;3
2020-04-20;17:44;pomorskie;6;0;215;2
