date;tt;tp;tc;omit;nt;np;nc;tc_ratio;tp_ratio
2020-10-31;4713403;4536794;362731;604402;59792;56691;21897;36.62;38.63
2020-11-01;4763377;4585135;379902;605157;49974;48341;17171;34.36;35.52
2020-11-02;4828389;4649236;395480;605665;65012;64101;15578;23.96;24.30
2020-11-03;4894181;4712224;414844;672388;65792;62988;19364;29.43;30.74
2020-11-04;4963261;4779914;439536;717981;69080;67690;24692;35.74;36.48
2020-11-05;5030381;4845330;466679;756649;67120;65416;27143;40.44;41.49
2020-11-06;5113336;4919545;493765;792005;82955;74215;27086;32.65;36.50
2020-11-07;5180150;4985060;521640;827541;66814;65515;27875;41.72;42.55
2020-11-08;5241205;5044824;546425;828260;61055;59764;24785;40.59;41.47
2020-11-09;5284661;5086938;568138;828656;43456;42114;21713;49.97;51.56
2020-11-10;5339362;5140451;593592;882970;54701;53513;25454;46.53;47.57
2020-11-11;5392636;5192470;618813;918601;53274;52019;25221;47.34;48.48
2020-11-12;5449885;5248818;641496;919026;57249;56348;22683;39.62;40.26
2020-11-13;5507437;5304785;665547;958628;57552;55967;24051;41.79;42.97
2020-11-14;5563521;5359757;691118;990347;56084;54972;25571;45.59;46.52
2020-11-15;5610128;5405065;712972;990988;46607;45308;21854;46.89;48.23
2020-11-16;5645233;5439161;733788;991537;35105;34096;20816;59.30;61.05
2020-11-17;5687216;5480117;752940;1042302;41983;40956;19152;45.62;46.76
2020-11-18;5744228;5535846;772823;1072960;57012;55729;19883;34.88;35.68
2020-11-19;5802239;5592687;796798;1100118;58011;56841;23975;41.33;42.18
2020-11-20;5857287;5646377;819262;1125085;55048;53690;22464;40.81;41.84
2020-11-21;5901232;5688791;843475;1149552;43945;42414;24213;55.10;57.09
2020-11-22;5944092;5730736;861331;1150313;42860;41945;17856;41.66;42.57
2020-11-23;5971590;5757602;876333;1150599;27498;26866;15002;54.56;55.84
2020-11-24;6005307;5790445;909066;1189813;33717;32843;32733;97.08;99.67
2020-11-25;6053741;5837721;924422;1212731;48434;47276;15356;31.71;32.48
2020-11-27;6145092;5927378;958416;1254076;91351;89657;33994;37.21;37.92
2020-11-28;6187205;5968348;973593;1274491;42113;40970;15177;36.04;37.04
