date;woj;typ;tests
2020-07-20;kujawsko-pomorskie;T;86816
2020-07-20;kujawsko-pomorskie;N;6535
2020-07-20;lubelskie;T;76710
2020-07-20;lubelskie;N;6085
2020-07-20;lubuskie;T;23414
2020-07-20;lubuskie;N;1842
2020-07-20;mazowieckie;T;448231
2020-07-20;mazowieckie;N;25510
2020-07-20;małopolskie;T;148726
2020-07-20;małopolskie;N;11722
2020-07-20;opolskie;T;16068
2020-07-20;opolskie;N;1190
2020-07-20;podkarpackie;T;36600
2020-07-20;podkarpackie;N;3511
2020-07-20;podlaskie;T;48989
2020-07-20;podlaskie;N;3145
2020-07-20;pomorskie;T;126268
2020-07-20;pomorskie;N;9514
2020-07-20;warmińsko-mazurskie;T;47992
2020-07-20;warmińsko-mazurskie;N;2819
2020-07-20;wielkopolskie;T;184341
2020-07-20;wielkopolskie;N;10839
2020-07-20;zachodniopomorskie;T;62753
2020-07-20;zachodniopomorskie;N;6315
2020-07-20;łódzkie;T;113996
2020-07-20;łódzkie;N;9570
2020-07-20;śląskie;T;196375
2020-07-20;śląskie;N;13563
2020-07-20;świętokrzyskie;T;41307
2020-07-20;świętokrzyskie;N;4425
2020-07-27;Polska;T;1933983
2020-07-27;Polska;N;126654
2020-07-27;dolnośląskie;T;158614
2020-07-27;dolnośląskie;N;9871
2020-07-27;kujawsko-pomorskie;T;93765
2020-07-27;kujawsko-pomorskie;N;6949
2020-07-27;lubelskie;T;81723
2020-07-27;lubelskie;N;5013
2020-07-27;lubuskie;T;25020
2020-07-27;lubuskie;N;1606
2020-07-27;mazowieckie;T;473511
2020-07-27;mazowieckie;N;25280
2020-07-27;małopolskie;T;163298
2020-07-27;małopolskie;N;14572
2020-07-27;opolskie;T;17292
2020-07-27;opolskie;N;1224
2020-07-27;podkarpackie;T;39423
2020-07-27;podkarpackie;N;2823
2020-07-27;podlaskie;T;51586
2020-07-27;podlaskie;N;2597
2020-07-27;pomorskie;T;135924
2020-07-27;pomorskie;N;9656
2020-07-27;warmińsko-mazurskie;T;51060
2020-07-27;warmińsko-mazurskie;N;3068
2020-07-27;wielkopolskie;T;194131
2020-07-27;wielkopolskie;N;9790
2020-07-27;zachodniopomorskie;T;69404
2020-07-27;zachodniopomorskie;N;6651
2020-07-27;łódzkie;T;123532
2020-07-27;łódzkie;N;9536
2020-07-27;śląskie;T;209437
2020-07-27;śląskie;N;13062
2020-07-27;świętokrzyskie;T;46263
2020-07-27;świętokrzyskie;N;4956
2020-08-03;Polska;T;2075485
2020-08-03;Polska;N;141502
2020-08-03;dolnośląskie;T;169281
2020-08-03;dolnośląskie;N;10667
2020-08-03;kujawsko-pomorskie;T;100827
2020-08-03;kujawsko-pomorskie;N;7062
2020-08-03;lubelskie;T;87667
2020-08-03;lubelskie;N;5944
2020-08-03;lubuskie;T;26590
2020-08-03;lubuskie;N;1570
2020-08-03;mazowieckie;T;501404
2020-08-03;mazowieckie;N;27893
2020-08-03;małopolskie;T;179413
2020-08-03;małopolskie;N;16115
2020-08-03;opolskie;T;18712
2020-08-03;opolskie;N;1420
2020-08-03;podkarpackie;T;42330
2020-08-03;podkarpackie;N;2907
2020-08-03;podlaskie;T;54741
2020-08-03;podlaskie;N;3155
2020-08-03;pomorskie;T;146718
2020-08-03;pomorskie;N;10794
2020-08-03;warmińsko-mazurskie;T;54278
2020-08-03;warmińsko-mazurskie;N;3218
2020-08-03;wielkopolskie;T;206012
2020-08-03;wielkopolskie;N;11881
2020-08-03;zachodniopomorskie;T;76638
2020-08-03;zachodniopomorskie;N;7234
2020-08-03;łódzkie;T;133654
2020-08-03;łódzkie;N;10122
2020-08-03;śląskie;T;225406
2020-08-03;śląskie;N;15969
2020-08-03;świętokrzyskie;T;51814
2020-08-03;świętokrzyskie;N;5551
2020-08-10;Polska;T;2237561
2020-08-10;Polska;N;162076
2020-08-10;dolnośląskie;T;181719
2020-08-10;dolnośląskie;N;12438
2020-08-10;kujawsko-pomorskie;T;107944
2020-08-10;kujawsko-pomorskie;N;7117
2020-08-10;lubelskie;T;94012
2020-08-10;lubelskie;N;6345
2020-08-10;lubuskie;T;28080
2020-08-10;lubuskie;N;1490
2020-08-10;mazowieckie;T;532110
2020-08-10;mazowieckie;N;30706
2020-08-10;małopolskie;T;197881
2020-08-10;małopolskie;N;18468
2020-08-10;opolskie;T;20538
2020-08-10;opolskie;N;1826
2020-08-10;podkarpackie;T;45612
2020-08-10;podkarpackie;N;3282
2020-08-10;podlaskie;T;58176
2020-08-10;podlaskie;N;3435
